descritor,tema,T,T_nome
D1,Espaco e Forma,GEO,Geometria
D2,Espaco e Forma,GEO,Geometria
D3,Espaco e Forma,GEO,Geometria
D4,Espaco e Forma,GEO,Geometria
D5,Espaco e Forma,GEO,Geometria
D6,Espaco e Forma,GEO,Geometria
D7,Espaco e Forma,GEO,Geometria
D8,Espaco e Forma,GEO,Geometria
D9,Espaco e Forma,GEO,Geometria
D10,Espaco e Forma,GEO,Geometria
D11,Grandezas e Medidas,MED,Medida e mensuracao
D12,Grandezas e Medidas,MED,Medida e mensuracao
D13,Grandezas e Medidas,MED,Medida e mensuracao
D14,Numeros Algebra Funcoes,NR,Numeros reais
D15,Numeros Algebra Funcoes,PROP,Proporcionalidade
D16,Numeros Algebra Funcoes,PCT,Porcentagem
D17,Numeros Algebra Funcoes,EXP,Expressoes e equacoes
D18,Numeros Algebra Funcoes,FN,Funcoes
D19,Numeros Algebra Funcoes,FN,Funcoes
D20,Numeros Algebra Funcoes,FN,Funcoes
D21,Numeros Algebra Funcoes,FN,Funcoes
D22,Numeros Algebra Funcoes,FN,Funcoes
D23,Numeros Algebra Funcoes,FN,Funcoes
D24,Numeros Algebra Funcoes,FN,Funcoes
D25,Numeros Algebra Funcoes,FN,Funcoes
D26,Numeros Algebra Funcoes,EXP,Expressoes e equacoes
D27,Numeros Algebra Funcoes,FN,Funcoes
D28,Numeros Algebra Funcoes,FN,Funcoes
D29,Numeros Algebra Funcoes,FN,Funcoes
D30,Numeros Algebra Funcoes,FN,Funcoes
D31,Numeros Algebra Funcoes,EXP,Expressoes e equacoes
D32,Numeros Algebra Funcoes,EST,Estatistica e probabilidade
D33,Numeros Algebra Funcoes,EST,Estatistica e probabilidade
D34,Tratamento da Informacao,LEI,Leitura de dados
D35,Tratamento da Informacao,LEI,Leitura de dados
9N1.1,Ancora 9 ano,NR,Numeros reais
9N1.7,Ancora 9 ano,NR,Numeros reais
9A2.1,Ancora 9 ano,FN,Funcoes
9A2.2,Ancora 9 ano,FN,Funcoes
